,Regime,Model,MSE,MAE,R2
0,low,Linear,0.00035151651271897547,0.014979594371631225,-1.2361877744469973
1,low,Ridge,0.000299116789760862,0.01361169927073304,-0.8513611490017107
2,low,RandomForest,0.00019204385231887856,0.010032569988250946,-0.030208152066652876
3,low,GradientBoosting,0.000225096683158437,0.010955335666295073,-0.1946927635536276
4,medium,Linear,0.1556536025660779,0.11387196066829695,-739.7337744177338
5,medium,Ridge,0.045683080152039764,0.06666874583359281,-216.27918484349232
6,medium,RandomForest,0.00018423147610420647,0.010170695604208286,0.22010806279563008
7,medium,GradientBoosting,0.00020313520799730177,0.010654319514644761,0.13594322395921976
8,high,Linear,0.0008671389360922077,0.020850637783911125,0.02124456241158305
9,high,Ridge,0.0005233333102770501,0.01697109787111059,0.3096299903625018
10,high,RandomForest,0.0004389607219456456,0.015030305868754873,0.4680844998201304
11,high,GradientBoosting,0.0005396108470179891,0.01632383405853263,0.3519063183858912
