,Feature,Importance,Sector
0,VIX,0.06153324887714458,Technology
1,VIX_change,0.04370025496826699,Technology
2,VIX_regime_num,0.002917362275279953,Technology
3,AAPL_lag1,0.042194905727588494,Technology
4,MSFT_lag1,0.0483770781354711,Technology
5,JPM_lag1,0.048425137103270934,Technology
6,JNJ_lag1,0.05214453398341386,Technology
7,XOM_lag1,0.05211852585859006,Technology
8,market_return,0.38052231130472747,Technology
9,market_return_lag1,0.046274195482682474,Technology
10,market_volatility,0.05339269958658141,Technology
11,day_of_week,0.01883353741597944,Technology
12,month,0.025027657579935414,Technology
13,econ_GDP,0.009887621378957065,Technology
14,econ_UNRATE,0.013158811627258602,Technology
15,econ_CPIAUCSL,0.009401957407733731,Technology
16,econ_FEDFUNDS,0.011542256138660757,Technology
17,econ_T10Y2Y,0.00849228693476573,Technology
18,econ_INDPRO,0.016698628263330958,Technology
19,sector_return_lag1,0.05535698995036102,Technology
20,VIX,0.0004004634092699418,Financial
21,VIX_change,0.0002000645323316547,Financial
22,VIX_regime_num,0.0005412642347610888,Financial
23,AAPL_lag1,0.00023393432854739164,Financial
24,MSFT_lag1,0.000702084802351713,Financial
25,JPM_lag1,0.0008624170379411786,Financial
26,JNJ_lag1,0.0006817524157102574,Financial
27,XOM_lag1,0.00018917953362470683,Financial
28,market_return,0.006581149859885524,Financial
29,market_return_lag1,0.0009598534004548526,Financial
30,market_volatility,1.4000566205125836e-05,Financial
31,day_of_week,0.0006649085476761962,Financial
32,month,0.0002038958256241766,Financial
33,econ_GDP,0.0028405945387146394,Financial
34,econ_UNRATE,0.0011513923036694596,Financial
35,econ_CPIAUCSL,0.000435795974113818,Financial
36,econ_FEDFUNDS,0.001703450369124934,Financial
37,econ_T10Y2Y,3.8181224853959764e-05,Financial
38,econ_INDPRO,0.00010500714245775208,Financial
39,sector_return_lag1,0.00025502919642669304,Financial
40,VIX,0.0004004634092699418,Healthcare
41,VIX_change,0.0002000645323316547,Healthcare
